latency_ms	cdf
0.747000	0.000333
0.797000	0.002333
0.803000	0.004333
0.815000	0.006333
0.822000	0.008333
0.826000	0.010333
0.830000	0.012333
0.831000	0.014333
0.835000	0.016333
0.837000	0.018333
0.839000	0.020333
0.841000	0.022333
0.842000	0.024333
0.845000	0.026333
0.847000	0.028333
0.849000	0.030333
0.849000	0.032333
0.852000	0.034333
0.853000	0.036333
0.856000	0.038333
0.857000	0.040333
0.859000	0.042333
0.860000	0.044333
0.862000	0.046333
0.863000	0.048333
0.864000	0.050333
0.865000	0.052333
0.866000	0.054333
0.867000	0.056333
0.868000	0.058333
0.870000	0.060333
0.871000	0.062333
0.872000	0.064333
0.872000	0.066333
0.873000	0.068333
0.873000	0.070333
0.874000	0.072333
0.875000	0.074333
0.876000	0.076333
0.877000	0.078333
0.877000	0.080333
0.878000	0.082333
0.879000	0.084333
0.880000	0.086333
0.881000	0.088333
0.882000	0.090333
0.883000	0.092333
0.884000	0.094333
0.885000	0.096333
0.885000	0.098333
0.886000	0.100333
0.887000	0.102333
0.887000	0.104333
0.888000	0.106333
0.888000	0.108333
0.890000	0.110333
0.891000	0.112333
0.892000	0.114333
0.892000	0.116333
0.893000	0.118333
0.894000	0.120333
0.894000	0.122333
0.895000	0.124333
0.895000	0.126333
0.896000	0.128333
0.897000	0.130333
0.898000	0.132333
0.898000	0.134333
0.899000	0.136333
0.900000	0.138333
0.900000	0.140333
0.900000	0.142333
0.901000	0.144333
0.902000	0.146333
0.902000	0.148333
0.903000	0.150333
0.903000	0.152333
0.904000	0.154333
0.905000	0.156333
0.906000	0.158333
0.906000	0.160333
0.906000	0.162333
0.907000	0.164333
0.907000	0.166333
0.908000	0.168333
0.909000	0.170333
0.909000	0.172333
0.910000	0.174333
0.910000	0.176333
0.911000	0.178333
0.911000	0.180333
0.912000	0.182333
0.912000	0.184333
0.913000	0.186333
0.914000	0.188333
0.914000	0.190333
0.915000	0.192333
0.915000	0.194333
0.916000	0.196333
0.917000	0.198333
0.917000	0.200667
0.918000	0.202667
0.918000	0.204667
0.919000	0.206667
0.919000	0.208667
0.919000	0.210667
0.920000	0.212667
0.921000	0.214667
0.921000	0.216667
0.922000	0.218667
0.922000	0.220667
0.923000	0.222667
0.923000	0.224667
0.924000	0.226667
0.924000	0.228667
0.925000	0.230667
0.925000	0.232667
0.926000	0.234667
0.926000	0.236667
0.927000	0.238667
0.927000	0.240667
0.928000	0.242667
0.928000	0.244667
0.929000	0.246667
0.929000	0.248667
0.930000	0.250667
0.930000	0.252667
0.930000	0.254667
0.931000	0.256667
0.931000	0.258667
0.931000	0.260667
0.932000	0.262667
0.933000	0.264667
0.933000	0.266667
0.934000	0.268667
0.934000	0.270667
0.934000	0.272667
0.935000	0.274667
0.936000	0.276667
0.936000	0.278667
0.937000	0.280667
0.937000	0.282667
0.937000	0.284667
0.938000	0.286667
0.938000	0.288667
0.939000	0.290667
0.939000	0.292667
0.939000	0.294667
0.940000	0.296667
0.940000	0.298667
0.941000	0.300667
0.941000	0.302667
0.942000	0.304667
0.942000	0.306667
0.943000	0.308667
0.943000	0.310667
0.943000	0.312667
0.944000	0.314667
0.944000	0.316667
0.945000	0.318667
0.945000	0.320667
0.946000	0.322667
0.946000	0.324667
0.946000	0.326667
0.947000	0.328667
0.947000	0.330667
0.948000	0.332667
0.948000	0.334667
0.949000	0.336667
0.949000	0.338667
0.949000	0.340667
0.950000	0.342667
0.950000	0.344667
0.951000	0.346667
0.951000	0.348667
0.951000	0.350667
0.952000	0.352667
0.952000	0.354667
0.953000	0.356667
0.954000	0.358667
0.954000	0.360667
0.954000	0.362667
0.955000	0.364667
0.955000	0.366667
0.955000	0.368667
0.956000	0.370667
0.956000	0.372667
0.956000	0.374667
0.957000	0.376667
0.957000	0.378667
0.958000	0.380667
0.958000	0.382667
0.958000	0.384667
0.959000	0.386667
0.959000	0.388667
0.960000	0.390667
0.960000	0.392667
0.960000	0.394667
0.961000	0.396667
0.961000	0.398667
0.962000	0.401000
0.962000	0.403000
0.962000	0.405000
0.963000	0.407000
0.963000	0.409000
0.964000	0.411000
0.964000	0.413000
0.964000	0.415000
0.965000	0.417000
0.965000	0.419000
0.966000	0.421000
0.966000	0.423000
0.966000	0.425000
0.967000	0.427000
0.967000	0.429000
0.968000	0.431000
0.969000	0.433000
0.969000	0.435000
0.969000	0.437000
0.970000	0.439000
0.970000	0.441000
0.971000	0.443000
0.971000	0.445000
