latency_ms	cdf
0.596000	0.000333
0.619000	0.002333
0.624000	0.004333
0.631000	0.006333
0.632000	0.008333
0.636000	0.010333
0.637000	0.012333
0.639000	0.014333
0.641000	0.016333
0.646000	0.018333
0.649000	0.020333
0.651000	0.022333
0.653000	0.024333
0.654000	0.026333
0.656000	0.028333
0.658000	0.030333
0.659000	0.032333
0.661000	0.034333
0.663000	0.036333
0.664000	0.038333
0.664000	0.040333
0.665000	0.042333
0.667000	0.044333
0.667000	0.046333
0.669000	0.048333
0.669000	0.050333
0.670000	0.052333
0.670000	0.054333
0.671000	0.056333
0.672000	0.058333
0.673000	0.060333
0.674000	0.062333
0.675000	0.064333
0.675000	0.066333
0.677000	0.068333
0.678000	0.070333
0.679000	0.072333
0.680000	0.074333
0.681000	0.076333
0.682000	0.078333
0.683000	0.080333
0.683000	0.082333
0.684000	0.084333
0.685000	0.086333
0.685000	0.088333
0.686000	0.090333
0.687000	0.092333
0.688000	0.094333
0.689000	0.096333
0.689000	0.098333
0.690000	0.100333
0.691000	0.102333
0.691000	0.104333
0.692000	0.106333
0.692000	0.108333
0.693000	0.110333
0.693000	0.112333
0.694000	0.114333
0.695000	0.116333
0.695000	0.118333
0.696000	0.120333
0.697000	0.122333
0.697000	0.124333
0.698000	0.126333
0.699000	0.128333
0.700000	0.130333
0.700000	0.132333
0.700000	0.134333
0.701000	0.136333
0.702000	0.138333
0.703000	0.140333
0.703000	0.142333
0.704000	0.144333
0.704000	0.146333
0.705000	0.148333
0.705000	0.150333
0.706000	0.152333
0.706000	0.154333
0.707000	0.156333
0.708000	0.158333
0.708000	0.160333
0.709000	0.162333
0.709000	0.164333
0.710000	0.166333
0.710000	0.168333
0.711000	0.170333
0.711000	0.172333
0.711000	0.174333
0.712000	0.176333
0.712000	0.178333
0.713000	0.180333
0.713000	0.182333
0.713000	0.184333
0.714000	0.186333
0.714000	0.188333
0.715000	0.190333
0.716000	0.192333
0.716000	0.194333
0.717000	0.196333
0.717000	0.198333
0.717000	0.200667
0.718000	0.202667
0.718000	0.204667
0.718000	0.206667
0.719000	0.208667
0.719000	0.210667
0.720000	0.212667
0.720000	0.214667
